Name,RA,DEC
Sirius,6.7525694,-16.71314306
Canopus,6.39919184,-52.69571799
Arcturus,14.2612076,+19.18726997
RigelKentaurusA,14.66136068,-60.83514707
Vega,18.61560722,+38.78299311
Capella,5.27813767,+45.99902927
Rigel,5.24229756,-08.20163919
Procyon,7.65514946,+05.22750767
Achernar,1.62854213,-57.23666007
Betelgeuse,5.91952477,+07.40703634
Hadar,14.06373459,-60.37297840
Altair,19.84630057,+08.86738491
Acrux,12.44331705,-63.09905586
Aldebaran,4.59866679,+16.50976164
Spica,13.41989015,-11.16124491
Antares,16.49012986,-26.43194608
Pollux,7.75537884,+28.02631031
Fomalhaut,22.96078488,-29.62183701
Deneb,20.69053151,+45.28033423
RigelKentaurusB,14.66094188,-60.83947139
Regulus,10.13957205,+11.96719513
Adhara,6.9770963,-28.97208931
Castor,7.57666793,+31.88863645
Shaula,17.56014624,-37.10374835
Bellatrix,5.41885227,+06.34973451
